Date,IBOV,Carteira,Markowitz,Selic
2025-10-22,120601.87304890717,114613.03852054395,116921.89948226581,111339.36941019981
2025-10-23,121307.80437044724,115333.19919475444,117659.85400074608,111400.75191794935
2025-10-24,121683.24661810594,115667.46374155342,117938.23756453836,111462.16826648924
2025-10-27,122346.72216441187,116678.62385967167,119112.69279797618,111523.61847447624
2025-10-28,122729.6566077001,116206.322162707,119043.37494547541,111585.10256057743
2025-10-29,123731.945889698,116062.26382018666,118993.47688754548,111646.62054347013
2025-10-30,123854.31841831403,115891.28520510189,118928.397226627,111708.17244184195
2025-10-31,124486.99271592067,116096.48401751903,118015.93269658575,111769.75827439086
2025-11-03,125247.86680541078,116395.15599952606,118581.80827757783,111831.37805982513
2025-11-04,125455.98335067614,117828.91542583538,120094.61945943965,111893.0318168633
2025-11-05,127612.07075962515,120272.11433409734,122213.17459373537,111954.71956423426
2025-11-06,127649.53173777291,120051.30064982278,122709.4095491069,112016.44132067723
2025-11-07,128253.06971904243,120329.21140060935,123718.06282221913,112078.19710494173
2025-11-10,129246.20187304867,122097.9991663822,124901.01425559666,112139.98693578766
2025-11-11,131320.70759625366,123179.73952387105,125608.66725527072,112201.81083198523
2025-11-12,131224.14151925052,123566.49033119169,125577.55568528405,112263.66881231502
2025-11-13,130832.04994797059,122774.78244302381,125370.0456432989,112325.56089556795
2025-11-14,131312.38293444304,122550.18104387427,124366.04068400832,112387.48710054529
2025-11-17,130691.36316337122,122270.47217781233,124072.06998267389,112449.4474460587
2025-11-18,130299.27159209129,121967.74018268925,123939.55439014849,112511.4419509302
2025-11-19,129349.42767950024,120829.1038827795,122667.68794935991,112573.47063399217
2025-11-21,128840.79084287172,120391.94619096658,122173.93301765584,112635.5335140874
2025-11-24,129263.6836628509,120772.1728345601,122988.29789143211,112697.63061006906
2025-11-25,129789.8022892817,120366.55678307769,122828.87156039552,112759.7619408007
2025-11-26,131991.67533818906,122413.60304743517,124365.43130284463,112821.9275251563
2025-11-27,131772.73673256993,123122.50922630186,124559.23028416453,112884.1273820202
2025-11-28,132422.06035379783,122310.84749833778,123581.86575090908,112946.36153028719
2025-12-01,132038.2934443285,121933.67729532227,123067.18915980232,113008.62998886245
2025-12-02,134103.64203954182,123220.33380760366,124517.5994762536,113070.93277666162
2025-12-03,134655.5671175855,123142.46504179828,124468.67436849978,113133.26991261075
2025-12-04,136904.05827263233,123854.59186925653,126073.48966087177,113195.64141564629
2025-12-05,131004.37044745023,118266.85731643933,121398.43856744295,113258.04730471516
2025-12-08,131685.32778355846,119493.73083567819,122458.12699765453,113320.48759877474
2025-12-09,131513.8397502598,119393.9241367706,122763.21107216428,113382.96231679281
2025-12-10,132424.55775234097,120065.22604041985,123223.83838873163,113445.47147774768
2025-12-11,132519.45889698196,119738.83807730065,122544.34606795588,113508.0151006281
2025-12-12,133832.25806451577,121265.48591788714,123629.60456417246,113570.59320443323
2025-12-15,135260.77003121714,122517.09992934059,124689.89981813556,113633.20580817277
2025-12-16,132010.82206035344,119564.42392088374,122125.95027482879,113695.85293086688
2025-12-17,130969.40686784564,118122.34728778404,121267.09626171621,113758.53459154621
2025-12-18,131465.55671175822,118745.35027083725,121982.34134094435,113821.2508092519
2025-12-19,131923.41311134197,118523.64792551102,121436.52978978759,113884.00160303556
2025-12-22,131360.77003121708,117977.68379380394,121133.32336617098,
